x,y,z
2,99,-0.182852
3,0,-0.0627847
3,1,-0.107853
3,2,-0.0784647
3,3,-0.0741322
3,4,-0.0310879
3,5,-0.0126803
3,6,-0.0119705
3,7,0.0324877
3,8,0.0574973
3,9,0.072632
3,10,0.0451435
3,11,0.0282804
3,12,0.0711864
3,13,0.0797985
3,14,0.0792948
3,15,0.0510486
3,16,0.0497819
3,17,0.061877
3,18,0.0900838
3,19,0.0513779
3,20,-0.0236581
3,21,-0.0276
3,22,-0.00206169
3,23,-0.00299834
3,24,-3.20492e-05
3,25,-0.00510171
3,26,0.0402581
3,27,0.0599501
3,28,0.0734834
3,29,0.0629938
3,30,0.0673995
3,31,0.096756
3,32,0.104846
3,33,0.0752745
3,34,0.0997007
3,35,0.0532497
3,36,0.00014257
3,37,-0.0713748
3,38,-0.1699
3,39,-0.226875
3,40,-0.26502
3,41,-0.223771
3,42,-0.248146
3,43,-0.257248
3,44,-0.259862
3,45,-0.279814
3,46,-0.374665
3,47,-0.356873
3,48,-0.333237
3,49,-0.311076
3,50,-0.318431
3,51,-0.296663
3,52,-0.276734
3,53,-0.247847
3,54,-0.25997
3,55,-0.242558
3,56,-0.243588
3,57,-0.227588
3,58,-0.215608
3,59,-0.17071
3,60,-0.131937
3,61,-0.0697706
3,62,-0.0567821
3,63,-0.0458057
3,64,-0.00545525
3,65,0.00292618
3,66,-0.000369671
3,67,0.0236136
3,68,0.0107471
3,69,0.0103649
3,70,0.012064
3,71,-0.0365899
3,72,-0.0978561
3,73,-0.143509
3,74,-0.187429
3,75,-0.224231
3,76,-0.295619
3,77,-0.372934
3,78,-0.455002
3,79,-0.497847
3,80,-0.469872
3,81,-0.432009
3,82,-0.426946
3,83,-0.404833
3,84,-0.378299
3,85,-0.349499
3,86,-0.279535
3,87,-0.217858
3,88,-0.195811
3,89,-0.214882
3,90,-0.234724
3,91,-0.254354
3,92,-0.291536
3,93,-0.25979
3,94,-0.223084
3,95,-0.191368
3,96,-0.194051
3,97,-0.161777
3,98,-0.13612
3,99,-0.112965
4,0,-0.102487
4,1,-0.123741
4,2,-0.111021
4,3,-0.113765
4,4,-0.103893
4,5,-0.0854245
4,6,-0.0807242
4,7,-0.0419632
4,8,-0.0157791
4,9,-0.0115974
4,10,-0.0459003
4,11,-0.0147197
4,12,0.0268737
4,13,0.0235024
4,14,0.0377
4,15,-0.00956316
4,16,0.0402157
4,17,0.0481203
4,18,0.0654661
4,19,0.00972547
4,20,-0.0270187
4,21,-0.0157145
4,22,-0.011473
4,23,-0.0367657
4,24,-0.00185333
4,25,0.00133988
4,26,0.0323051
4,27,0.0552687
4,28,0.068174
4,29,0.0475401
4,30,-0.0175242
4,31,-0.0195812
4,32,0.0304102
4,33,0.0420072
4,34,0.0915536
4,35,0.0955486
4,36,0.027896
4,37,-0.0230752
4,38,-0.0904368
4,39,-0.15447
4,40,-0.201101
4,41,-0.215903
4,42,-0.221631
4,43,-0.227798
4,44,-0.251332
4,45,-0.229696
4,46,-0.262373
4,47,-0.288476
4,48,-0.279061
4,49,-0.267653
4,50,-0.258366
4,51,-0.223494
4,52,-0.191302
4,53,-0.180631
4,54,-0.195128
4,55,-0.148195
4,56,-0.123236
4,57,-0.116399
4,58,-0.132747
4,59,-0.141973
4,60,-0.100092
4,61,-0.0566699
4,62,-0.0281045
4,63,-0.0205017
4,64,0.012972
4,65,0.0354817
4,66,0.0134775
4,67,0.0316395
4,68,0.0338856
4,69,0.0454167
4,70,0.0173114
4,71,-0.0219928
4,72,-0.0905732
4,73,-0.143964
4,74,-0.198772
4,75,-0.235393
4,76,-0.294582
4,77,-0.35025
4,78,-0.389064
4,79,-0.427593
4,80,-0.419232
4,81,-0.38718
4,82,-0.382312
4,83,-0.365265
4,84,-0.345768
4,85,-0.318887
4,86,-0.2398
4,87,-0.1924
4,88,-0.164826
4,89,-0.180016
4,90,-0.190252
4,91,-0.222468
4,92,-0.236954
4,93,-0.224412
4,94,-0.171267
4,95,-0.129733
4,96,-0.158567
4,97,-0.113566
4,98,-0.0331955
4,99,-0.0255548
5,0,-0.112574
5,1,-0.122457
5,2,-0.1603
5,3,-0.154685
5,4,-0.132753
5,5,-0.136784
5,6,-0.121498
5,7,-0.0877836
5,8,-0.0813453
5,9,-0.0639336
5,10,-0.0909424
5,11,-0.0901103
5,12,-0.0570646
5,13,-0.026185
5,14,0.0120499
5,15,0.000189682
5,16,0.0329138
5,17,0.0366996
5,18,0.0208227
5,19,-0.0274815
5,20,-0.0628906
5,21,-0.0733414
5,22,-0.077857
5,23,-0.0728596
5,24,-0.034724
5,25,-0.00603688
5,26,-0.00523391
5,27,-0.00077627
5,28,0.0254352
5,29,0.0238211
5,30,-0.050152
5,31,-0.0764391
5,32,-0.0414465
5,33,-0.0285288
5,34,0.0115312
5,35,0.03457
5,36,0.0594276
5,37,0.0401313
5,38,-0.0321693
5,39,-0.118356
5,40,-0.181804
5,41,-0.236848
5,42,-0.212392
5,43,-0.200499
5,44,-0.16921
5,45,-0.165364
5,46,-0.198365
5,47,-0.217532
5,48,-0.22408
5,49,-0.195823
5,50,-0.190332
5,51,-0.138997
5,52,-0.119724
5,53,-0.098631
5,54,-0.118448
5,55,-0.0853791
5,56,-0.0746219
5,57,-0.0676841
5,58,-0.0703022
5,59,-0.0742771
5,60,-0.041204
5,61,-0.0134131
5,62,0.00826725
5,63,0.0350988
5,64,0.0488053
5,65,0.0219595
5,66,0.0205505
5,67,0.053166
5,68,0.0875268
5,69,0.0797595
5,70,0.0551594
5,71,0.00914234
5,72,-0.0428068
5,73,-0.0706903
5,74,-0.148904
5,75,-0.213232
5,76,-0.273345
5,77,-0.295618
5,78,-0.346787
5,79,-0.389744
5,80,-0.384597
5,81,-0.370172
5,82,-0.336643
5,83,-0.290583
5,84,-0.280236
5,85,-0.288269
5,86,-0.255158
5,87,-0.219977
5,88,-0.16164
5,89,-0.149297
5,90,-0.159374
5,91,-0.219071
5,92,-0.251407
5,93,-0.222998
5,94,-0.169682
5,95,-0.124237
5,96,-0.0788088
5,97,-0.0428176
5,98,0.0324002
5,99,0.0492199
6,0,-0.0981224
6,1,-0.150058
6,2,-0.196699
6,3,-0.178507
6,4,-0.152161
6,5,-0.15318
6,6,-0.16748
6,7,-0.133686
6,8,-0.111977
6,9,-0.10917
6,10,-0.110672
6,11,-0.148125
6,12,-0.138865
6,13,-0.129148
6,14,-0.0835652
6,15,-0.0734555
6,16,-0.0562335
6,17,-0.0489522
6,18,-0.0430297
6,19,-0.0708584
6,20,-0.102481
6,21,-0.130654
6,22,-0.131279
6,23,-0.112887
6,24,-0.040158
6,25,-0.0171661
6,26,-0.0172244
6,27,-0.0423536
6,28,-0.00539304
6,29,0.00607932
6,30,-0.0470721
6,31,-0.0250696
6,32,-0.0376084
6,33,-0.0507937
6,34,-0.00165242
6,35,0.0305843
6,36,0.0610455
6,37,0.0569115
6,38,-0.00940682
6,39,-0.0966413
6,40,-0.155985
6,41,-0.185637
6,42,-0.164783
6,43,-0.135792
6,44,-0.1236
6,45,-0.114164
6,46,-0.135475
6,47,-0.173053
6,48,-0.144968
6,49,-0.173883
6,50,-0.169801
6,51,-0.131328
6,52,-0.0917651
6,53,-0.105076
6,54,-0.0706079
6,55,-0.0505703
6,56,-0.0513741
6,57,-0.0612592
6,58,-0.0818875
6,59,-0.104301
6,60,-0.0777346
6,61,-0.0360882
6,62,-0.00730921
6,63,0.0183029
6,64,0.0335538
6,65,0.0252296
6,66,0.0112281
6,67,0.0384223
6,68,0.110307
6,69,0.0955031
6,70,0.0668639
6,71,0.0403174
6,72,0.0154569
6,73,-0.00246587
6,74,-0.0793116
6,75,-0.15338
6,76,-0.239244
6,77,-0.260203
6,78,-0.327292
6,79,-0.344329
6,80,-0.397061
6,81,-0.365268
6,82,-0.298873
6,83,-0.293176
6,84,-0.308232
6,85,-0.287414
6,86,-0.267711
6,87,-0.223126
6,88,-0.191016
6,89,-0.167664
6,90,-0.147834
6,91,-0.181695
6,92,-0.252129
6,93,-0.217617
6,94,-0.138211
6,95,-0.0918686
6,96,-0.0275364
6,97,-0.000844903
6,98,0.0551647
6,99,0.049635
7,0,-0.11087
7,1,-0.150068
7,2,-0.182954
7,3,-0.193024
7,4,-0.178702
7,5,-0.175325
7,6,-0.192973
7,7,-0.201765
7,8,-0.204388
7,9,-0.208433
7,10,-0.174035
7,11,-0.215545
7,12,-0.223054
7,13,-0.221207
7,14,-0.17834
7,15,-0.125203
7,16,-0.129685
7,17,-0.12289
7,18,-0.111083
7,19,-0.139373
7,20,-0.162026
7,21,-0.172152
7,22,-0.140011
7,23,-0.137688
7,24,-0.0882122
7,25,-0.0155303
7,26,-0.0313451
7,27,-0.0500813
7,28,-0.014989
7,29,-0.0353074
7,30,-0.0682401
7,31,-0.0159939
7,32,-0.00831784
7,33,-0.0320041
7,34,0.0215395
7,35,0.0352762
7,36,0.0604846
7,37,0.0408561
7,38,-0.00881338
7,39,-0.0819845
7,40,-0.12613
7,41,-0.117632
7,42,-0.113394
7,43,-0.0919189
7,44,-0.0904868
7,45,-0.117387
7,46,-0.161704
7,47,-0.145082
7,48,-0.111444
7,49,-0.133084
7,50,-0.139078
7,51,-0.131804
7,52,-0.0837594
7,53,-0.0863309
7,54,-0.0350837
7,55,-0.0104563
7,56,-0.0154878
7,57,-0.0214551
7,58,-0.0641722
7,59,-0.137496
7,60,-0.146668
7,61,-0.152439
7,62,-0.139352
7,63,-0.0858801
7,64,-0.0428655
7,65,-0.0408496
7,66,-0.025052
7,67,0.0463142
7,68,0.109744
7,69,0.120861
7,70,0.126447
7,71,0.0635346
7,72,0.0434719
7,73,0.0432372
7,74,-0.0170925
7,75,-0.0575118
7,76,-0.166504
7,77,-0.20325
7,78,-0.248393
7,79,-0.28979
7,80,-0.343679
7,81,-0.346888
7,82,-0.308644
7,83,-0.296814
7,84,-0.29534
7,85,-0.296248
7,86,-0.280731
7,87,-0.224256
7,88,-0.207167
7,89,-0.175327
7,90,-0.120236
7,91,-0.135727
7,92,-0.170772
7,93,-0.132735
7,94,-0.0834926
7,95,-0.0600592
7,96,-0.00379339
7,97,0.0229692
7,98,0.0456405
7,99,0.0425469
8,0,-0.151707
8,1,-0.139262
8,2,-0.199751
8,3,-0.190468
8,4,-0.189284
8,5,-0.18799
8,6,-0.213368
8,7,-0.240228
8,8,-0.220302
8,9,-0.20965
8,10,-0.209764
8,11,-0.25365
8,12,-0.234486
8,13,-0.246065
8,14,-0.179187
8,15,-0.178782
8,16,-0.14873
8,17,-0.15544
8,18,-0.152298
8,19,-0.204391
8,20,-0.225903
8,21,-0.185528
8,22,-0.164894
8,23,-0.163157
8,24,-0.0727367
8,25,-0.0730393
8,26,-0.07206
8,27,-0.0586187
8,28,-0.0319
8,29,-0.0754262
8,30,-0.110799
8,31,-0.0540083
8,32,0.00252486
8,33,0.00729225
8,34,0.0275692
8,35,0.0680042
8,36,0.074457
8,37,0.0482508
8,38,-0.0299001
8,39,-0.0765275
8,40,-0.10125
8,41,-0.118489
8,42,-0.0808014
8,43,-0.0593004
8,44,-0.0802993
8,45,-0.101521
8,46,-0.142854
8,47,-0.129217
8,48,-0.083704
8,49,-0.0800666
8,50,-0.0954761
8,51,-0.0758525
8,52,-0.0450051
8,53,-0.0320629
8,54,-0.0151489
8,55,0.0175485
8,56,0.00141422
8,57,-0.0340897
8,58,-0.0458936
8,59,-0.130266
8,60,-0.176181
8,61,-0.207127
8,62,-0.176894
8,63,-0.113198
8,64,-0.0575887
8,65,-0.0504497
8,66,-0.00609647
8,67,0.0545486
8,68,0.128665
8,69,0.159932
8,70,0.175187
8,71,0.0902732
8,72,0.0827527
8,73,0.0554548
8,74,0.0157243
8,75,-0.0272599
8,76,-0.0900389
8,77,-0.146792
8,78,-0.198441
8,79,-0.245221
8,80,-0.283138
8,81,-0.277659
8,82,-0.303589
8,83,-0.273195
8,84,-0.279926
8,85,-0.269285
8,86,-0.238301
8,87,-0.218176
8,88,-0.220378
8,89,-0.136352
8,90,-0.100583
8,91,-0.101627
8,92,-0.0945035
8,93,-0.114423
8,94,-0.0776496
8,95,-0.0402337
8,96,-0.00292963
8,97,-0.00271487
8,98,0.0526239
8,99,0.0873786
9,0,-0.113069
9,1,-0.136901
9,2,-0.184109
9,3,-0.225927
9,4,-0.225022
9,5,-0.234301
9,6,-0.258161
9,7,-0.262988
9,8,-0.230909
9,9,-0.213922
9,10,-0.243
9,11,-0.247021
9,12,-0.241838
9,13,-0.229952
9,14,-0.20013
9,15,-0.208692
9,16,-0.190254
9,17,-0.197794
9,18,-0.193971
9,19,-0.222452
9,20,-0.267681
9,21,-0.234321
9,22,-0.22081
9,23,-0.198534
9,24,-0.149807
9,25,-0.12377
9,26,-0.105881
9,27,-0.0756779
9,28,-0.0639398
9,29,-0.078257
9,30,-0.0734416
9,31,-0.0508559
9,32,0.0142379
9,33,0.0481446
9,34,0.0542977
9,35,0.0641695
9,36,0.0515451
9,37,0.0119939
9,38,-0.0326389
9,39,-0.0868641
9,40,-0.141714
9,41,-0.111144
9,42,-0.103403
9,43,-0.0930581
9,44,-0.0974736
9,45,-0.151299
9,46,-0.168509
9,47,-0.120613
9,48,-0.06634
9,49,-0.025318
9,50,-0.0480962
9,51,-0.0366598
9,52,-0.0381735
9,53,-0.0501209
9,54,-0.0202133
9,55,0.0199249
9,56,0.031235
9,57,-7.44063e-05
9,58,-0.0432835
9,59,-0.139974
9,60,-0.199296
9,61,-0.238686
9,62,-0.214345
9,63,-0.15462
9,64,-0.0990589
9,65,-0.0913395
9,66,-0.0504907
9,67,0.0122433
9,68,0.0830034
9,69,0.123038
9,70,0.126758
9,71,0.109228
9,72,0.120037
9,73,0.0877495
9,74,0.0420269
9,75,0.0285126
9,76,-0.00805708
9,77,-0.0866895
9,78,-0.14967
9,79,-0.199965
9,80,-0.248333
9,81,-0.299564
9,82,-0.31081
9,83,-0.28727
9,84,-0.275291
9,85,-0.25452
9,86,-0.232352
9,87,-0.168114
9,88,-0.16007
9,89,-0.0911317
9,90,-0.0515637
9,91,-0.062034
9,92,-0.0760007
9,93,-0.0559493
9,94,-0.0534651
9,95,-0.0320801
9,96,0.00550261
9,97,0.024544
9,98,0.089503
9,99,0.0923252
10,0,-0.144188
10,1,-0.148883
10,2,-0.16686
10,3,-0.2276
10,4,-0.252081
10,5,-0.266341
10,6,-0.256964
10,7,-0.239751
10,8,-0.236988
10,9,-0.22781
10,10,-0.267287
10,11,-0.243697
10,12,-0.262828
10,13,-0.236846
10,14,-0.215507
10,15,-0.217545
10,16,-0.218506
10,17,-0.20481
10,18,-0.197993
10,19,-0.202594
10,20,-0.25364
10,21,-0.254641
10,22,-0.249636
10,23,-0.242323
10,24,-0.178023
10,25,-0.174357
10,26,-0.106259
10,27,-0.0273561
10,28,-0.0166266
10,29,-0.0136344
10,30,-0.0259457
10,31,0.0305582
10,32,0.0524315
10,33,0.0613149
10,34,0.0738868
10,35,0.0748351
10,36,0.0520879
10,37,0.0180168
10,38,-0.0369776
10,39,-0.0974369
10,40,-0.103981
10,41,-0.121241
10,42,-0.131257
10,43,-0.114061
10,44,-0.146923
10,45,-0.184615
10,46,-0.144426
10,47,-0.143742
10,48,-0.0828076
10,49,-0.0233364
10,50,-0.0381314
10,51,-0.0105534
10,52,-0.0503929
10,53,-0.0688632
10,54,-0.054159
10,55,-0.0185598
10,56,-0.0104321
10,57,-0.00271176
10,58,-0.0212964
10,59,-0.116226
10,60,-0.171567
10,61,-0.21543
10,62,-0.21823
10,63,-0.185516
10,64,-0.13674
10,65,-0.137816
10,66,-0.0953823
10,67,-0.0311509
10,68,0.0103433
10,69,0.0410643
10,70,0.0831122
10,71,0.118262
10,72,0.154564
10,73,0.153141
10,74,0.140682
10,75,0.103973
10,76,0.0153184
10,77,-0.0947416
10,78,-0.145796
10,79,-0.193509
10,80,-0.266894
10,81,-0.321427
10,82,-0.368444
10,83,-0.325602
10,84,-0.291398
10,85,-0.260891
10,86,-0.220674
10,87,-0.140298
10,88,-0.100743
10,89,-0.0288143
10,90,-0.0325653
10,91,-0.0550775
10,92,-0.034556
10,93,0.00931706
10,94,-0.0206578
10,95,-0.0279894
10,96,0.0136832
10,97,0.0666626
10,98,0.102534
10,99,0.111467
11,0,-0.127447
11,1,-0.135178
11,2,-0.184842
11,3,-0.224907
11,4,-0.270989
11,5,-0.276056
11,6,-0.275784
11,7,-0.250277
11,8,-0.233817
11,9,-0.206951
11,10,-0.232534
11,11,-0.258994
11,12,-0.281894
11,13,-0.256317
11,14,-0.241412
11,15,-0.244112
11,16,-0.208843
11,17,-0.202142
11,18,-0.180528
11,19,-0.213893
11,20,-0.202912
11,21,-0.255856
11,22,-0.265999
11,23,-0.255888
11,24,-0.208302
11,25,-0.168373
11,26,-0.14725
11,27,-0.0574133
11,28,-0.0519978
11,29,-0.068119
11,30,-0.0643078
11,31,-0.0118977
11,32,-0.00309101
11,33,0.026742
11,34,0.0467714
11,35,0.07655
11,36,0.0424366
11,37,-0.0179481
11,38,-0.0414995
11,39,-0.0633757
11,40,-0.106994
11,41,-0.0945265
11,42,-0.127984
11,43,-0.103548
11,44,-0.161519
11,45,-0.154362
11,46,-0.124231
11,47,-0.112482
11,48,-0.0514143
11,49,0.0135282
11,50,0.024663
11,51,0.021156
11,52,-0.024018
11,53,-0.0661596
11,54,-0.076834
11,55,-0.0217117
11,56,-0.021391
11,57,-0.0133141
11,58,-0.0273783
11,59,-0.0803943
11,60,-0.146057
11,61,-0.133554
11,62,-0.148211
11,63,-0.132433
11,64,-0.139737
11,65,-0.140515
11,66,-0.102002
11,67,-0.0501685
11,68,-0.00827231
11,69,0.0541759
11,70,0.109158
11,71,0.140827
11,72,0.161801
11,73,0.17101
11,74,0.169927
11,75,0.133303
11,76,0.042942
11,77,-0.0911481
11,78,-0.146862
11,79,-0.195403
11,80,-0.257082
11,81,-0.318193
11,82,-0.329864
11,83,-0.308717
11,84,-0.28726
11,85,-0.262065
11,86,-0.161388
11,87,-0.119138
11,88,-0.0966086
11,89,0.00370696
11,90,-0.0151745
11,91,-0.0380896
11,92,-0.0146232
11,93,-0.0110742
11,94,-0.0263335
11,95,0.00471931
11,96,0.0448344
11,97,0.0604881
11,98,0.062514
11,99,0.0722227
12,0,-0.0832668
12,1,-0.092928
12,2,-0.192544
12,3,-0.225565
12,4,-0.294118
12,5,-0.284239
12,6,-0.273979
12,7,-0.232407
12,8,-0.235253
12,9,-0.222132
12,10,-0.252861
12,11,-0.288248
12,12,-0.301272
12,13,-0.268065
12,14,-0.250698
12,15,-0.236921
12,16,-0.219088
12,17,-0.232245
12,18,-0.223356
12,19,-0.223332
12,20,-0.231879
12,21,-0.2859
12,22,-0.303292
12,23,-0.291773
12,24,-0.277291
12,25,-0.285957
12,26,-0.248092
12,27,-0.201705
12,28,-0.143614
12,29,-0.130041
12,30,-0.106527
12,31,-0.0950286
12,32,-0.0593384
12,33,-0.0815787
12,34,-0.0289148
12,35,0.0262163
12,36,-0.0114527
12,37,-0.0316609
12,38,-0.0588289
12,39,-0.103656
12,40,-0.120749
12,41,-0.113858
12,42,-0.180703
12,43,-0.166664
12,44,-0.184193
12,45,-0.184096
12,46,-0.155293
12,47,-0.0980874
12,48,-0.0245862
12,49,-0.000217713
12,50,0.00783603
12,51,0.0416682
12,52,-0.000203468
12,53,-0.055878
12,54,-0.064583
12,55,-0.0299782
12,56,-0.000509649
12,57,0.0120667
12,58,0.0168717
12,59,-0.0639311
12,60,-0.0931771
12,61,-0.0559652
12,62,-0.04638
12,63,-0.0445583
12,64,-0.0669072
12,65,-0.0830384
12,66,-0.0851968
12,67,-0.0180399
12,68,0.0243263
12,69,0.0827981
12,70,0.100312
12,71,0.141685
12,72,0.172848
12,73,0.178141
12,74,0.171858
12,75,0.13313
12,76,0.0478877
12,77,-0.0364173
12,78,-0.121108
12,79,-0.190878
12,80,-0.235641
12,81,-0.269856
12,82,-0.289018
12,83,-0.256696
12,84,-0.225452
12,85,-0.19193
12,86,-0.130163
12,87,-0.0772541
12,88,-0.0592923
12,89,0.00101864
12,90,0.00984394
12,91,0.00620882
12,92,0.018814
12,93,0.0231528
12,94,-0.0093723
12,95,0.0139939
12,96,0.0849573
12,97,0.0690465
12,98,0.0463263
12,99,0.0397864
13,0,-0.0886585
13,1,-0.101874
13,2,-0.174163
13,3,-0.229627
13,4,-0.291026
13,5,-0.312558
13,6,-0.266125
13,7,-0.243204
13,8,-0.228433
13,9,-0.24335
13,10,-0.282428
13,11,-0.28869
13,12,-0.288514
13,13,-0.26622
13,14,-0.268142
13,15,-0.257145
13,16,-0.263401
13,17,-0.271434
13,18,-0.299879
13,19,-0.271563
13,20,-0.293511
13,21,-0.318995
13,22,-0.348001
13,23,-0.316413
13,24,-0.340078
13,25,-0.348164
13,26,-0.34707
13,27,-0.281493
13,28,-0.224101
13,29,-0.186324
13,30,-0.134618
13,31,-0.125175
13,32,-0.119618
13,33,-0.130746
13,34,-0.101041
13,35,-0.0293415
13,36,-0.0397307
13,37,-0.0355229
13,38,-0.0634761
13,39,-0.122692
13,40,-0.134931
13,41,-0.158299
13,42,-0.188707
13,43,-0.171758
13,44,-0.146529
13,45,-0.168338
13,46,-0.155821
13,47,-0.103412
13,48,-0.0562608
13,49,0.000336213
13,50,0.0599755
13,51,0.0398402
13,52,0.0317558
13,53,-0.00657767
13,54,-0.0430368
13,55,-0.0262814
13,56,0.0189243
13,57,0.0234307
13,58,0.022441
13,59,-0.0131206
13,60,-0.0528699
13,61,-0.0503769
13,62,0.00529768
13,63,0.0218678
13,64,-0.016345
13,65,-0.051688
13,66,-0.0344592
13,67,-0.0153692
13,68,0.0519215
13,69,0.0894123
13,70,0.0935116
13,71,0.151849
13,72,0.171823
13,73,0.14205
13,74,0.129378
13,75,0.133625
